_id,id,d_name,pop_total,pop_male,pop_female,area_km2,pop_density,house_amt,adddate,updatedate
1,233,กรุงเทพมหานคร,"5,467,302","2,582,924","2,884,378","1,439.82","3,797","2,846,273",2020-11-18 0:00:00,2020-11-18 0:00:00
2,232,แขวงห้วยขวาง,"25,879","11,639","14,240",5.342,"4,844","30,337",2020-11-18 0:00:00,2020-11-18 0:00:00
3,231,แขวงสามเสนนอก,"38,204","17,153","21,051",4.283,"8,920","23,822",2020-11-18 0:00:00,2020-11-18 0:00:00
4,230,แขวงบางกะปิ,"17,606","8,229","9,377",5.408,"3,256","25,609",2020-11-18 0:00:00,2020-11-18 0:00:00
5,229,เขตห้วยขวาง,"81,689","37,021","44,668",15.033,"5,434","79,768",2020-11-18 0:00:00,2020-11-18 0:00:00
6,228,แขวงทุ่งสองห้อง,"76,457","36,740","39,717",16.886,"4,528","39,222",2020-11-18 0:00:00,2020-11-18 0:00:00
7,227,แขวงตลาดบางเขน,"28,120","13,051","15,069",5.955,"4,722","16,580",2020-11-18 0:00:00,2020-11-18 0:00:00
8,226,เขตหลักสี่,"104,577","49,791","54,786",22.841,"4,578","55,802",2020-11-18 0:00:00,2020-11-18 0:00:00
9,225,แขวงหนองจอก,"21,773","10,519","11,254",29.992,726,"7,653",2020-11-18 0:00:00,2020-11-18 0:00:00
10,224,แขวงลำผักชี,"30,740","14,765","15,975",33.358,922,"12,767",2020-11-18 0:00:00,2020-11-18 0:00:00
11,223,แขวงลำต้อยติ่ง,"9,554","4,712","4,842",24.789,385,"2,862",2020-11-18 0:00:00,2020-11-18 0:00:00
12,222,แขวงโคกแฝด,"33,790","16,595","17,195",22.524,"1,500","11,635",2020-11-18 0:00:00,2020-11-18 0:00:00
13,221,แขวงคู้ฝั่งเหนือ,"17,763","8,630","9,133",17.75,"1,001","6,056",2020-11-18 0:00:00,2020-11-18 0:00:00
14,220,แขวงคลองสิบสอง,"11,365","5,622","5,743",38.867,292,"4,158",2020-11-18 0:00:00,2020-11-18 0:00:00
15,219,แขวงคลองสิบ,"9,022","4,501","4,521",30.849,292,"2,280",2020-11-18 0:00:00,2020-11-18 0:00:00
16,218,แขวงกระทุ่มราย,"38,983","18,981","20,002",38.132,"1,022","15,799",2020-11-18 0:00:00,2020-11-18 0:00:00
17,217,เขตหนองจอก,"172,990","84,325","88,665",236.261,732,"63,210",2020-11-18 0:00:00,2020-11-18 0:00:00
18,216,แขวงหนองค้างพลู,"76,208","35,993","40,215",17.036,"4,473","30,848",2020-11-18 0:00:00,2020-11-18 0:00:00
19,215,แขวงหนองแขม,"80,059","36,967","43,092",18.789,"4,261","29,832",2020-11-18 0:00:00,2020-11-18 0:00:00
20,214,เขตหนองแขม,"156,267","72,960","83,307",35.825,"4,362","60,680",2020-11-18 0:00:00,2020-11-18 0:00:00
21,213,แขวงออเงิน,"38,556","18,245","20,311",13.516,"2,853","22,867",2020-11-18 0:00:00,2020-11-18 0:00:00
22,212,แขวงสายไหม,"80,731","37,446","43,285",18.659,"4,327","34,505",2020-11-18 0:00:00,2020-11-18 0:00:00
23,211,แขวงคลองถนน,"85,245","40,415","44,830",12.44,"6,852","42,824",2020-11-18 0:00:00,2020-11-18 0:00:00
24,210,เขตสายไหม,"204,532","96,106","108,426",44.615,"4,584","100,196",2020-11-18 0:00:00,2020-11-18 0:00:00
25,209,แขวงยานนาวา,"20,463","9,683","10,780",2.09,"9,791","10,489",2020-11-18 0:00:00,2020-11-18 0:00:00
26,208,แขวงทุ่งวัดดอน,"38,841","18,117","20,724",3.195,"12,157","17,785",2020-11-18 0:00:00,2020-11-18 0:00:00
27,207,แขวงทุ่งมหาเมฆ,"19,556","9,628","9,928",4.041,"4,839","13,981",2020-11-18 0:00:00,2020-11-18 0:00:00
